Constituency no.,Constituency ,Party 
1,Vadakara,INC
2,Wayanad,INC
3,Kozhikode,INC
4,Malappuram,MUL
5,Ponnani,MUL
6,Palakkad,INC
7,Alathur ,INC
8,Thrissur,INC
9,Chalakudy,INC
10,Ernakulam,INC
11,Idukki,INC
12,Kottayam,Others
13,Alappuzha,CPM
14,Mavelikkara ,INC
15,Pathanamthitta,INC
16,Kollam,Others
17,Attingal,INC
18,Thiruvananthapuram,INC
19,Kasaragod,INC
20,Kannur,INC
