Constituency no.,Constituency,Party 
1,Alappuzha,INC
2,Alathur ,CPM
3,Attingal,CPM
4,Chalakudy,Others
5,Ernakulam,INC
6,Idukki,Others
7,Kannur,CPM
8,Kasaragod,CPM
9,Kollam,Others
10,Kottayam,Others
11,Kozhikode,INC
12,Malappuram,MUL
13,Mavelikkara ,INC
14,Palakkad,CPM
15,Pathanamthitta,INC
16,Ponnani,MUL
17,Thiruvananthapuram,INC
18,Thrissur,Others
19,Vadakara,INC
20,Wayanad,INC
