Constituency no.,Constituency,Party 
1,Kasaragod,CPM
2,Kannur,INC
3,Vadakara,INC
4,Wayanad,INC
5,Kozhikode,INC
6,Malappuram,MUL
7,Ponnani,MUL
8,Palakkad,CPM
9,Alathur,CPM
10,Thrissur,INC
11,Chalakudy,INC
12,Ernakulam,INC
13,Idukki,INC
14,Kottayam,Others 
15,Alappuzha,INC
16,Mavelikkara,INC
17,Pathanamthitta,INC
18,Kollam,INC
19,Attingal,CPM
20,Thiruvananthapuram,INC
