Constituency no.,Constituency ,Party (2018)
1,Nippani,BJP
2,Chikkodi-Sadalga,INC
3,Athani,INC
4,Kagwad,INC
5,Kudachi  ,BJP
6,Raybag  ,BJP
7,Hukkeri,BJP
8,Arabhavi,BJP
9,Gokak,INC
10,Yemkanmardi  ,INC
11,Belgaum Uttar,BJP
12,Belgaum Dakshin,BJP
13,Belgaum Rural,INC
14,Khanapur,INC
15,Kittur,BJP
16,Bailhongal,INC
17,Saundatti Yellamma,BJP
18,Ramdurg,BJP
19,Mudhol  ,BJP
20,Terdal,BJP
21,Jamkhandi,INC
22,Bilgi,BJP
23,Badami,INC
24,Bagalkot,BJP
25,Hungund,BJP
26,Muddebihal,BJP
27,Devar Hippargi,BJP
28,Basavana Bagevadi,INC
29,Babaleshwar,INC
30,Bijapur City,BJP
31,Nagthan  ,Others 
32,Indi,INC
33,Sindgi,Others 
34,Afzalpur,INC
35,Jevargi,INC
36,Shorapur  ,BJP
37,Shahapur,INC
38,Yadgir,BJP
39,Gurmitkal,Others 
40,Chittapur  ,INC
41,Sedam,BJP
42,Chincholi  ,INC
43,Gulbarga Rural  ,BJP
44,Gulbarga Dakshin,BJP
45,Gulbarga Uttar,INC
46,Aland,BJP
47,Basavakalyan,INC
48,Humnabad,INC
49,Bidar South,Others 
50,Bidar,INC
51,Bhalki,INC
52,Aurad  ,BJP
53,Raichur Rural  ,INC
54,Raichur,BJP
55,Manvi  ,Others 
56,Devadurga  ,BJP
57,Lingsugur  ,INC
58,Sindhanur,Others 
59,Maski  ,INC
60,Kushtagi,INC
61,Kanakagiri  ,BJP
62,Gangawati,BJP
63,Yelburga,BJP
64,Koppal,INC
65,Shirahatti  ,BJP
66,Gadag,INC
67,Ron,BJP
68,Nargund,BJP
69,Navalgund,BJP
70,Kundgol,INC
71,Dharwad,BJP
72,Hubli-Dharwad-East  ,INC
73,Hubli-Dharwad Central,BJP
74,Hubli-Dharwad- West,BJP
75,Kalghatgi,BJP
76,Haliyal,INC
77,Karwar,BJP
78,Kumta,BJP
79,Bhatkal,BJP
80,Sirsi,BJP
81,Yellapur,INC
82,Hangal,BJP
83,Shiggaon,BJP
84,Haveri  ,BJP
85,Byadgi,BJP
86,Hirekerur,INC
87,Ranibennur,Others 
88,Hadagalli  ,INC
89,Hagaribommanahalli  ,INC
90,Vijayanagara,INC
91,Kampli  ,INC
92,Siruguppa ,BJP
93,Bellary  ,INC
94,Bellary City,BJP
95,Sandur  ,INC
96,Kudligi  ,BJP
97,Molakalmuru  ,BJP
98,Challakere  ,INC
99,Chitradurga,BJP
100,Hiriyur,BJP
101,Hosadurga,BJP
102,Holalkere  ,BJP
103,Jagalur  ,BJP
104,Harapanahalli,BJP
105,Harihar,INC
106,Davanagere North,BJP
107,Davanagere South,INC
108,Mayakonda  ,BJP
109,Channagiri,BJP
110,Honnali,BJP
111,Shimoga Rural  ,BJP
112,Bhadravati,INC
113,Shimoga,BJP
114,Tirthahalli,BJP
115,Shikaripura,BJP
116,Sorab,BJP
117,Sagar,BJP
118,Byndoor,BJP
119,Kundapura,BJP
120,Udupi,BJP
121,Kapu,BJP
122,Karkal,BJP
123,Sringeri,INC
124,Mudigere  ,BJP
125,Chikmagalur,BJP
126,Tarikere,BJP
127,Kadur,BJP
128,Chiknayakanhalli,BJP
129,Tiptur,BJP
130,Turuvekere,BJP
131,Kunigal,INC
132,Tumkur City,BJP
133,Tumkur Rural,Others 
134,Koratagere  ,INC
135,Gubbi,Others 
136,Sira,Others 
137,Pavagada  ,INC
138,Madhugiri,Others 
139,Gauribidanur,INC
140,Bagepalli,INC
141,Chikkaballapur,INC
142,Sidlaghatta,INC
143,Chintamani,Others 
144,Srinivaspur,INC
145,Mulbagal  ,Others 
146,Kolar Gold Field  ,INC
147,Bangarapet  ,INC
148,Kolar,Others 
149,Malur,INC
150,Yelahanka,BJP
151,K.R.Pura,INC
152,Byatarayanapura,INC
153,Yeshvanthapura,INC
154,Rajarajeshwarinagar,INC
155,Dasarahalli,Others 
156,Mahalakshmi Layout,Others 
157,Malleshwaram,BJP
158,Hebbal,INC
159,Pulakeshinagar  ,INC
160,Sarvagnanagar,INC
161,C.V. Raman Nagar  ,BJP
162,Shivajinagar,INC
163,Shanti Nagar,INC
164,Gandhi Nagar,INC
165,Rajaji Nagar,BJP
166,Govindraj Nagar,BJP
167,Vijay Nagar,INC
168,Chamrajpet,INC
169,Chickpet,BJP
170,Basavanagudi,BJP
171,Padmanaba Nagar,BJP
172,B.T.M.Layout,INC
173,Jayanagar,INC
174,Mahadevapura  ,BJP
175,Bommanahalli,BJP
176,Bangalore South,BJP
177,Anekal  ,INC
178,Hosakote,INC
179,Devanahalli  ,Others 
180,Doddaballapur,INC
181,Nelamangala  ,Others 
182,Magadi,Others 
183,Ramanagaram,Others 
184,Kanakapura,INC
185,Channapatna,Others 
186,Malavalli  ,Others 
187,Maddur,Others 
188,Melukote,Others 
189,Mandya,Others 
190,Shrirangapattana,Others 
191,Nagamangala,Others 
192,Krishnarajapete,Others 
193,Shravanabelagola,Others 
194,Arsikere,Others 
195,Belur,Others 
196,Hassan,BJP
197,Holenarasipur,Others 
198,Arkalgud,Others 
199,Sakleshpur  ,Others 
200,Belthangady,BJP
201,Moodabidri,BJP
202,Mangalore City North,BJP
203,Mangalore City South,BJP
204,Mangalore,INC
205,Bantval,BJP
206,Puttur,BJP
207,Sullia  ,BJP
208,Madikeri,BJP
209,Virajpet,BJP
210,Periyapatna,Others 
211,Krishnarajanagara,Others 
212,Hunasuru,Others 
213,Heggadadevankote ,INC
214,Nanjangud  ,BJP
215,Chamundeshwari,Others 
216,Krishnaraja,BJP
217,Chamaraja,BJP
218,Narasimharaja,INC
219,Varuna,INC
220,T.Narasipur  ,Others 
221,Hanur,INC
222,Kollegal  ,Others 
223,Chamarajanagar,INC
224,Gundlupet,BJP
